Sem. Cat.,EN,NT,Audio,Speaker,Source,Ques. / Notes,Sub Sem. Cat.,original spelling,Entry #,Page #,CR,see,Literal Meaning,Speaker 1,Speaker 2
birds,sparrow,gųn chųą,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,,gun chuan,72,38,,,,Tommy McGinty,Johnson Edwards
birds,Stellarʼs jay,tetʼoka,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,,,73,38,,,,Tommy McGinty,Johnson Edwards
birds,swallow (barn),tthaw ninzyaana,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,,tthaw ninzyaana,74,38,,,,Tommy McGinty,Johnson Edwards
birds,swallow (cliff),tetlok zyawa,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,,,75,38,,,,Tommy McGinty,Johnson Edwards
birds,swan,tagok,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,,,#REF!,38,CR10,,,Tommy McGinty,Johnson Edwards
birds,warbler,chųą detthoa,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,,chuan detthoa,77,39,,,bird yellow,Tommy McGinty,Johnson Edwards
birds,winter birds ,tsʼágaan,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,,,78,39,CR11,,,Tommy McGinty,Johnson Edwards
birds,winter birds ,hukʼa dlína,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,,,79,39,CR11,,,Tommy McGinty,Johnson Edwards
birds,woodcock (?),yadhok,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,,,80,39,,,,Tommy McGinty,Johnson Edwards
birds,woodpecker,tso esháwa,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,,,81,39,,,,Tommy McGinty,Johnson Edwards
birds,woodpecker (3-toe),etsána,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,,,82,39,,,,Tommy McGinty,Johnson Edwards
body parts,personʼs body ,dän nezhan,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),"is body ""nezhan"" or ""zhan""",,inlyát,#REF!,40,CR12,,,Tommy McGinty,Johnson Edwards
